id,state,division,title,content,author,date,imageUrl
24faea2a-a97a-47d3-9258-8bba33a2945e,Karnataka,A_Division,Captain Leads by Example,"In a remarkable turn of events, A_Division teams in Karnataka displayed excellent performance, drawing attention from across the region.",Mohammed Faiz,2024-07-24T10:00:00Z,
c41b530a-6dbd-4cec-a146-f18dc2002690,Karnataka,A_Division,Top Scorer Secures Win,"In a remarkable turn of events, A_Division teams in Karnataka displayed excellent performance, drawing attention from across the region.",Rahul Sharma,2024-07-20T10:00:00Z,
c52405a1-823d-49e7-ad70-c2a6d79a6b04,Karnataka,B_Division,Late Goal Seals Victory,"In a remarkable turn of events, B_Division teams in Karnataka displayed excellent performance, drawing attention from across the region.",Neha Kapoor,2024-07-06T10:00:00Z,
7b24098d-08f3-4a27-b92f-b40bae455f4e,Karnataka,B_Division,Youth Talent Shines Bright,"In a remarkable turn of events, B_Division teams in Karnataka displayed excellent performance, drawing attention from across the region.",Arjun Reddy,2024-07-02T10:00:00Z,
15695cc3-0873-4801-99b5-7933a476943b,Karnataka,C_Division,Thrilling Match Ends in Draw,"In a remarkable turn of events, C_Division teams in Karnataka displayed excellent performance, drawing attention from across the region.",Mohammed Faiz,2024-07-06T10:00:00Z,
59008836-55be-457b-8585-6551b3dd32d5,Karnataka,C_Division,Late Goal Seals Victory,"In a remarkable turn of events, C_Division teams in Karnataka displayed excellent performance, drawing attention from across the region.",Neha Kapoor,2024-07-17T10:00:00Z,
b0a954cf-67d8-4ffc-aa73-129f685993f8,Karnataka,U15,Youth Talent Shines Bright,"In a remarkable turn of events, U15 teams in Karnataka displayed excellent performance, drawing attention from across the region.",Rahul Sharma,2024-07-15T10:00:00Z,
30a7191e-9fd7-409b-ba4a-925b212c9cb9,Karnataka,U15,Record Attendance at Stadium,"In a remarkable turn of events, U15 teams in Karnataka displayed excellent performance, drawing attention from across the region.",Arjun Reddy,2024-07-10T10:00:00Z,
299cc6c6-bdec-43cb-bc5a-14dea33f0f79,Karnataka,U17,Captain Leads by Example,"In a remarkable turn of events, U17 teams in Karnataka displayed excellent performance, drawing attention from across the region.",Arjun Reddy,2024-07-09T10:00:00Z,
d7d6223a-abd1-4ba6-95d4-8f361126ec71,Karnataka,U17,Top Scorer Secures Win,"In a remarkable turn of events, U17 teams in Karnataka displayed excellent performance, drawing attention from across the region.",Anita Desai,2024-07-17T10:00:00Z,
c1f3fec5-2c1e-491f-89cc-7683f6b5650a,Karnataka,U21,Underdogs Surprise Everyone,"In a remarkable turn of events, U21 teams in Karnataka displayed excellent performance, drawing attention from across the region.",Mohammed Faiz,2024-07-16T10:00:00Z,
e52bfd95-03dd-4578-9f63-6d1c3a52f063,Karnataka,U21,Underdogs Surprise Everyone,"In a remarkable turn of events, U21 teams in Karnataka displayed excellent performance, drawing attention from across the region.",Neha Kapoor,2024-07-27T10:00:00Z,
2b453d22-9ff3-479c-8006-bf67e7d07d07,Delhi,A_Division,Captain Leads by Example,"In a remarkable turn of events, A_Division teams in Delhi displayed excellent performance, drawing attention from across the region.",Mohammed Faiz,2024-07-12T10:00:00Z,
13e09c88-7edd-4cfa-8344-c86410b7cbed,Delhi,A_Division,Captain Leads by Example,"In a remarkable turn of events, A_Division teams in Delhi displayed excellent performance, drawing attention from across the region.",Arjun Reddy,2024-07-01T10:00:00Z,
10077400-2239-4ac6-a7c7-12efb3e5936d,Delhi,B_Division,Underdogs Surprise Everyone,"In a remarkable turn of events, B_Division teams in Delhi displayed excellent performance, drawing attention from across the region.",Neha Kapoor,2024-07-04T10:00:00Z,
c3498136-6ac0-48d1-b42d-f6571ce7493c,Delhi,B_Division,Thrilling Match Ends in Draw,"In a remarkable turn of events, B_Division teams in Delhi displayed excellent performance, drawing attention from across the region.",Neha Kapoor,2024-07-02T10:00:00Z,
b40fb0ea-2919-44e1-be45-7c5f1f0e827e,Delhi,C_Division,Defensive Masterclass Displayed,"In a remarkable turn of events, C_Division teams in Delhi displayed excellent performance, drawing attention from across the region.",Rahul Sharma,2024-07-25T10:00:00Z,
bf02c622-81e0-463b-a888-6ec4e0dce435,Delhi,C_Division,Coach Praises Team Spirit,"In a remarkable turn of events, C_Division teams in Delhi displayed excellent performance, drawing attention from across the region.",Mohammed Faiz,2024-07-25T10:00:00Z,
4c75b792-49be-4766-a5a5-cb078bc39885,Delhi,U15,Thrilling Match Ends in Draw,"In a remarkable turn of events, U15 teams in Delhi displayed excellent performance, drawing attention from across the region.",Neha Kapoor,2024-07-24T10:00:00Z,
19959925-c7f6-4b10-9968-2899946a0f25,Delhi,U15,Captain Leads by Example,"In a remarkable turn of events, U15 teams in Delhi displayed excellent performance, drawing attention from across the region.",Mohammed Faiz,2024-07-10T10:00:00Z,
2780d21a-e9a9-4884-bb38-d8bec60956fa,Delhi,U17,Top Scorer Secures Win,"In a remarkable turn of events, U17 teams in Delhi displayed excellent performance, drawing attention from across the region.",Arjun Reddy,2024-07-21T10:00:00Z,
cc5a8905-9085-49d4-9b9d-03ad50e1987a,Delhi,U17,Thrilling Match Ends in Draw,"In a remarkable turn of events, U17 teams in Delhi displayed excellent performance, drawing attention from across the region.",Mohammed Faiz,2024-07-27T10:00:00Z,
c344bef5-340b-4c95-b0d1-e2f96d4fc4dc,Delhi,U21,Rain Interrupts Match,"In a remarkable turn of events, U21 teams in Delhi displayed excellent performance, drawing attention from across the region.",Rahul Sharma,2024-07-12T10:00:00Z,
d530e369-117d-430f-aacf-6782a84af819,Delhi,U21,Top Scorer Secures Win,"In a remarkable turn of events, U21 teams in Delhi displayed excellent performance, drawing attention from across the region.",Neha Kapoor,2024-07-04T10:00:00Z,
4252a276-b6b2-4b8a-acde-00ca99990931,Kerala,A_Division,Thrilling Match Ends in Draw,"In a remarkable turn of events, A_Division teams in Kerala displayed excellent performance, drawing attention from across the region.",Rahul Sharma,2024-07-15T10:00:00Z,
e6abe658-9f21-4d07-b047-85d621cef123,Kerala,A_Division,Underdogs Surprise Everyone,"In a remarkable turn of events, A_Division teams in Kerala displayed excellent performance, drawing attention from across the region.",Mohammed Faiz,2024-07-02T10:00:00Z,
e6fb5432-f44d-492a-8601-2f58fdc73511,Kerala,B_Division,Coach Praises Team Spirit,"In a remarkable turn of events, B_Division teams in Kerala displayed excellent performance, drawing attention from across the region.",Anita Desai,2024-07-08T10:00:00Z,
aa631659-d01f-4d52-a92a-e6248d4f7618,Kerala,B_Division,Record Attendance at Stadium,"In a remarkable turn of events, B_Division teams in Kerala displayed excellent performance, drawing attention from across the region.",Neha Kapoor,2024-07-21T10:00:00Z,
